word,definition,theme,score_distinct,score_total,flags,target_code,link
걷기도 전에 뛰려고 한다,쉽고 작은 일도 해낼 수 없으면서 어렵고 큰 일을 하려고 나섬을 이르는 말. &lt;동의 속담&gt; ‘기기도 전에 날기부터 하려 한다’ ‘기도[기지도] 못하면서 뛰려 한다’ ‘기도 못하는 게 날려 한다’ ‘털도 아니 난 것이 날기부터 하려 한다’ ‘푸둥지도 안 난 것이 날려고 한다’,health,1,1,,607353,https://opendict.korean.go.kr/dictionary/view?sense_no=607353
검둥개는 돼지 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘가재는 게 편’ ‘가재는 게 편이요 초록은 한 빛이라’ ‘검정개는 돼지 편’ ‘검정개 한패[한편]’ ‘솔개는 매 편(이라고)’ ‘이리가 짖으니 개가 꼬리(를) 흔든다’",health,1,1,violent:gray,607484,https://opendict.korean.go.kr/dictionary/view?sense_no=607484
검정개는 돼지 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘가재는 게 편’ ‘가재는 게 편이요 초록은 한 빛이라’ ‘검둥개는 돼지 편’ ‘검정개 한패[한편]’ ‘솔개는 매 편(이라고)’ ‘이리가 짖으니 개가 꼬리(를) 흔든다’",health,1,1,violent:gray,607316,https://opendict.korean.go.kr/dictionary/view?sense_no=607316
검정개 한패[한편],"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘가재는 게 편’ ‘가재는 게 편이요 초록은 한 빛이라’ ‘검둥개는 돼지 편’ ‘검정개는 돼지 편’ ‘솔개는 매 편(이라고)’ ‘이리가 짖으니 개가 꼬리(를) 흔든다’",health,1,1,violent:gray,607315,https://opendict.korean.go.kr/dictionary/view?sense_no=607315
겉은 늙어도 속은 새파랗다,비록 몸은 늙었어도 마음속에 생각하는 것은 한창 젊었을 때와 같다는 말.,health,1,1,sexual:gray|violent:gray,607092,https://opendict.korean.go.kr/dictionary/view?sense_no=607092
계집의 매도 너무 (많이) 맞으면 아프다,"친한 사이라도 함부로 하면 좋지 않은 일이 생긴다는 뜻으로, 비록 가깝고 친한 사이라도 예의를 잃지 말라는 말.",health,1,1,sexual:gray|violent:gray,600968,https://opendict.korean.go.kr/dictionary/view?sense_no=600968
고려 적 잠꼬대 (같은 소리),"현실과 전혀 동떨어진, 말 같지 아니한 소리를 비유적으로 이르는 말.",health,1,1,,601001,https://opendict.korean.go.kr/dictionary/view?sense_no=601001
고양이 간 골에 쥐 죽은 듯,"고양이 소리만 나도 쥐가 옴짝달싹 못하고 죽은 듯이 조용하다는 데서, 겁이 나거나 놀라서 숨을 죽이고 꼼짝 못 하는 모양을 비유적으로 이르는 말.",health,1,1,violent:gray,601047,https://opendict.korean.go.kr/dictionary/view?sense_no=601047
곡식 이삭은 익을수록[잘될수록] 고개를 숙인다,교양이 있고 수양을 쌓은 사람일수록 겸손하고 남 앞에서 자기를 내세우려 하지 않는다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘벼 이삭은 익을수록 고개를 숙인다’ ‘낟알은 익을수록 고개를 숙인다’ ‘병에 찬 물은 저어도 소리가 나지 않는다’,health,1,1,,601116,https://opendict.korean.go.kr/dictionary/view?sense_no=601116
곤달걀 꼬끼오 울거든,도저히 불가능한 일이어서 기약할 수 없음을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘병풍에 그린 닭이 홰를 치거든’,health,1,1,sexual:gray,601107,https://opendict.korean.go.kr/dictionary/view?sense_no=601107
